,Initialization,2008-50%,2008-54%,2008-59%,2008-64%,2008-69%,2008-75%,2008-79%,2008-84%,2008-89%,2008-94%,2009-49%,2009-54%,2009-60%,2009-64%,2009-69%,2009-74%,2009-80%,2009-84%,2009-89%,2009-94%,2010-50%,2010-54%,2010-59%,2010-64%,2010-69%,2010-75%,2010-79%,2010-84%,2010-89%,2010-94%,2011-49%,2011-54%,2011-59%,2011-64%,2011-69%,2011-74%,2011-79%,2011-84%,2011-89%,2011-94%,2012-50%,2012-54%,2012-59%,2012-64%,2012-69%,2012-74%,2012-79%,2012-84%,2012-89%,2012-94%
New Orleans,-0.908714004759815,6.09014198214707,5.078491819604746,5.065530744846316,4.758389663997898,4.7178267357797345,4.8320609459833355,5.413354802926636,5.256646453129299,5.632298448828185,5.813522467094492,3.1821545940647873,2.6180624664558043,2.268366517091549,2.5129040000601512,2.749316814745129,2.505389772293391,2.396226296586901,1.9375924432482055,1.6125528615533686,0.8876007054958,-1.948445940644703,-1.7687735366628698,-1.4950783381512254,-1.683870418751993,-1.7611065944049435,-1.8691029632244498,-2.0570540478722408,-2.108450796834608,-2.655823968126425,-2.353916257477575,3.9853131254252703,3.5333288583836713,2.6821075681486217,2.3119741985742794,1.9014071075692305,2.0406218955594895,1.9601435486692789,1.9071183805987406,1.9550415903975193,1.4151854974955118,-3.2649349701114168,-3.832967140456515,-4.4382888036852854,-4.136318593166232,-3.7727768172114007,-3.823945583815155,-3.625256572332662,-3.1365654584610962,-3.094994200932146,-3.188099288717912
Oklahoma City,0.6080973135732993,-7.676048253798136,-6.7836212327343866,-6.560984690316947,-6.879531675502007,-7.429903845816542,-7.655451179219946,-8.03674909050762,-8.303192433615385,-8.24726358769614,-8.017125568204627,-6.653220243021745,-6.5870036390651805,-6.10286832572546,-6.40746871728028,-5.882463179117722,-5.83404057158667,-5.532925739941924,-5.749109599821881,-6.133000799810487,-6.091308321636508,3.0093062020751034,3.2664820333335842,3.7281942242575155,3.324217590659209,3.3703183998273643,3.4800945739070257,3.164001184994632,3.7504582420137265,3.793216836162332,3.4601782539407675,2.089667370731018,1.973364885583408,2.2819390828980417,2.75112984253989,2.8457277823358984,2.847885524516685,3.4500958673237996,3.7609595536796894,3.750474350836691,4.042435127974363,6.706896782355115,6.298002949419082,6.017913086316391,6.1282827308414,6.774255650719547,6.830805458548053,7.0641582776260705,6.773448919696637,6.66523670706641,6.466869949183072
Denver,0.5386806548393765,1.9639041308712153,2.2086438236193127,2.713346341161907,2.6088515214631953,2.8732616519867458,3.123130001622234,3.7370929021137136,3.918704453534546,3.7888333491211306,3.4221215484915697,4.094778515415091,3.985316258745942,3.7090905543505928,2.8436194842943423,2.99004244966016,2.7278181730827176,2.858640713193078,3.1202478814831536,3.376647782311408,3.53664197299297,4.888013083112752,4.718291131427515,4.869311775646584,4.731603240758649,4.8576749992667745,5.111834055701653,4.959801310590878,4.2246942906046225,4.438079439543194,4.234759087934531,3.533078379693816,2.9113580201882856,2.893218161627718,2.61127601264679,3.517370124539223,3.9157313326581047,4.459183566595943,4.655739962817208,4.568440518008047,4.518800676590356,3.528228291561967,3.14463381763868,2.719203239389812,2.3371519714243996,1.7869060647877775,1.6323075272918797,2.0262594355084653,2.2251085811917113,2.678330345410984,2.8810081709712447
Detroit,0.5634345473656925,7.073975588412965,7.169192415334489,7.066017280264215,7.328903862887678,7.215952228725303,7.31346738149025,6.882347035060927,6.735741579677402,6.742802294388699,6.437312710731712,-0.437780280291354,-0.31963310825909536,-0.4710012636300454,-0.9509107291894164,-0.24763185495803589,-0.04624453951488792,-0.1791059966665257,-0.5290310479625943,-0.22035953910619893,-0.5055555974803162,-4.3305667932962555,-4.859803759279569,-4.73396368065716,-4.511064474569773,-4.856424934118089,-4.506135675577791,-5.014535565805622,-5.567513721318179,-5.147925959180627,-5.0920479574629205,-4.202220569484422,-4.135445174627761,-3.675375490742482,-3.7215195214063916,-4.026441753295278,-4.222832909900834,-4.003390923532584,-4.028915694053974,-3.8226450755972037,-3.7891639693623578,-6.95740475444929,-6.526989062590493,-5.803339483629318,-5.68355781504428,-5.776105936203099,-5.585341675346004,-6.018713888609047,-5.794335092507616,-5.58806230500423,-5.239563057879542
Miami,-0.6151282481589899,-6.549120998413426,-7.448808500914579,-7.523066470830469,-7.0665548537314695,-7.618797885217621,-7.556824157774523,-8.254573905971625,-8.600898272361565,-8.720985805085206,-8.607677114216186,0.27147450986470334,0.33406324796719894,-0.05390435003581621,-0.31204265433961714,-0.16762955424030596,0.3409787504560531,0.3064649297400394,0.23568674770835615,0.3028132479634484,0.3840871642350624,1.1340926481321547,0.7568672299091358,1.8872299381161661,1.5939485301320138,1.129073644094991,1.4988986410417997,1.4698021555778435,2.094905357556644,2.156792275837574,1.5744622749018538,7.084687322034661,6.821409907064209,7.026710070368146,7.168540273519107,6.187745426867101,6.4096905599235665,6.842692476609223,6.5050683122341,6.48756395883841,6.9661884846887245,8.25691872981625,8.249635120880734,8.055689165570378,8.021004725950778,7.165829114577436,7.124834514189687,6.697608578078409,6.542716354007808,6.703999204374438,6.270224576049437
Phoenix,0.07130374740959611,4.3877253844964414,4.982648845301006,4.926273098685231,4.370936631096114,3.8431631769527246,4.494344348624521,4.725486406905172,4.709741479661554,4.98470223039365,4.921676100811653,0.5362585111948087,1.1758979659250584,0.6031330693201343,1.6269332407607229,1.5069335121909073,1.7555837143849697,2.232553828776563,1.8690247317797972,1.5218527428756674,1.5751574348691504,2.062217035771024,2.230569396615724,2.613691752995873,2.872554615965346,3.4196854085937662,3.318397873650423,3.970273026946701,4.174948918685586,4.112757205466418,4.80092016205971,-1.7784046589260092,-1.2529561024849005,-0.32102457662959477,-0.1739094803546309,0.12412206336462835,-0.05973355754773526,-0.08684359450184828,-0.3428508320039717,-0.22622869979906943,-0.4884441155617749,-1.8640358454488626,-1.7572159863770875,-1.204373011572088,-0.838098436258808,-0.34866705637609624,-0.28611295933496683,0.4583835084577822,0.5820348424111306,0.45843369433684544,0.21181616560474578
L.A. Clippers,-0.05769803646919794,-4.416382471599154,-4.6592416673134025,-4.570183868911162,-4.373076157743221,-4.890707093029653,-5.954697543811466,-6.200727809112035,-5.833677752246659,-6.407481613142282,-6.616005158858374,-7.138982706827708,-8.181030963630706,-7.491255427504227,-8.278352525939649,-8.738634442411396,-8.317561582966098,-8.47307593077406,-8.308509706103667,-7.91807651581142,-8.565047844500564,-2.6188251673390295,-3.5842011181008027,-4.578723962666376,-4.229580280894663,-4.625676417081947,-5.418758692606978,-5.426872495771941,-5.922463771687609,-6.186649769265913,-6.018887382194084,-1.7228965718175413,-1.6988232583069132,-1.8534176321481888,-2.9993726274330177,-3.061360574983432,-2.3769154555125254,-2.7933113700196315,-2.6773260255879614,-2.5595652107830382,-2.697141387231817,2.760121777511657,2.7014017078313315,2.209281588201464,1.1809339728285113,1.6847835388460746,2.3560346555045992,2.38755495612828,2.936118719358696,2.8974435158571934,2.6141492811123177
Charlotte,0.6505660728784264,-3.648303923904128,-4.839667961854023,-5.465415200079333,-5.979894191880437,-4.61884689131717,-4.747429394615831,-5.011561175062534,-4.595950003936383,-4.596485981548854,-4.5064593867269,-1.227278773059378,-1.5137978143338862,-1.25435543576725,-1.5925538616000339,-1.201542143110726,-1.3857904246040251,-1.1079895304032843,-0.7603121574805198,-0.874885718786962,-1.2585987389277666,1.265856840582127,1.2183096261465545,0.9393154935305854,0.5849879529900607,0.5914878983215185,1.0364011939458588,1.1929026433083716,1.2984980223686526,1.363100462358613,1.0070860655669223,-3.9936819848927527,-3.5764940044682625,-3.342917043950793,-2.6510322676789304,-3.229582445473968,-3.5258310137431375,-3.8444508797662267,-3.8580283488550005,-4.221340065590747,-4.1787341513511675,-14.236404058989287,-13.363715026384352,-12.908532466710458,-12.811163977440444,-12.869379884713933,-12.672790497446623,-13.306129021548038,-13.508861734155039,-14.11272682240809,-14.141947127219284
New York,-0.4767579995367126,-5.934904678110778,-5.957507865473042,-5.316456102590271,-5.44191441736916,-5.698706912680136,-6.103019506330658,-6.949821764322464,-7.07593561413791,-6.585839400280391,-6.589501759464142,-2.2462395134502233,-1.8042998040779386,-2.1392737792652947,-1.4591242335854089,-1.5271855733536248,-1.4721950400255965,-2.185104489533672,-2.3036377752377346,-2.6668764645685936,-2.3075498884224914,-2.9565832701008437,-3.332476770186493,-3.5458493410024436,-3.6585280232473427,-3.8104928952027084,-3.4837550552102092,-3.381009764511469,-3.4942735554550666,-3.7920002230725816,-4.020420929921636,0.12936247213315713,0.3278010396494761,0.1487835613562114,0.4590202953801539,0.6389942958474142,0.7723774963435025,0.5286032359452066,0.28568804941403375,0.6970213796582007,0.5426915173549063,-0.4498929417431488,-0.9056433684162707,0.18811189507776888,1.4032929720418308,1.7921731545957134,1.5891370169841044,1.8670373445382957,2.3372712357228687,2.184820057502614,1.6646384437357056
Atlanta,0.2777789425800254,-1.1620930682943942,-1.6363666531800012,-2.455124264106854,-2.380969337018369,-2.8785719669731193,-2.5162710180346535,-2.3311449389813483,-1.8814584460536712,-1.8851462677683166,-2.499672197908127,1.778726547582726,1.7438523498712903,1.4916541154940248,0.7828993818004706,0.8212645591688277,1.3359187204143486,1.919740834896979,1.9063307203109527,1.9248550071697217,1.787603576981482,5.525170004520601,4.82058431260387,4.582784608860898,4.424496571299101,4.572525482923581,4.245872494696037,4.370953770068918,4.443484822124351,4.069839656929151,4.484274358781535,1.2271813336998345,1.004402490553141,0.4272549005682465,-0.09103756713568444,0.1643242487440545,-0.2239117806032621,-0.19275531601862644,-0.3403994833543696,-0.2610054472257248,-0.9264363395422238,1.3597089815545016,1.737497259838176,1.578630765129788,1.6564528473568922,1.1279986627829557,1.293087110310091,1.4679612376176991,1.8407995195248315,2.3227633874090814,2.141159809746347
